id,image,location,depth,date,flagged,remarks
b26d41da-81fa-46c5-be9f-c903c0b588b2,"","{""lat"":12.9277791,""lng"":80.1395568}",60,2023-12-07 03:42:13.382,,It is a made up flood due to sudden opening of Selaiyur Eri
7b767907-9475-40f2-b68c-e5216b0dce23,"","{""lat"":12.979172793120032,""lng"":80.20830357765773}",145,2023-12-07 03:42:41.966,,"304, Anjana apartments, AGS colony first main road, velachery "
c4c261d3-0af3-4f68-b43c-8778b1e3a04a,"","{""lat"":13.0188767,""lng"":80.2710964}",15,2023-12-07 03:45:05.945,,The SWD doesn't function effectively. Sewage-mixed rain water stagnates our roads. Roads are always bumpy and uneven . Sewage system has to be realised in MRC Nagar. High time !!!   
a7dc8a4a-c029-4947-8ab1-b31eb6138165,"","{""lat"":12.8347395,""lng"":80.2334342}",1,2023-12-07 03:49:48.655,,NAVALUR OMR
aa343b68-bc54-4ec7-82d9-b62186bceda7,https://cwl-images.s3.ap-south-1.amazonaws.com/fa38bdc834149770639a8850d43e5738.jpeg,"{""lat"":12.9734918,""lng"":80.222766}",150,2023-12-07 03:49:48.851,,""
ca44648c-c3c5-46c1-976a-624d298c50b8,"","{""lat"":12.9750277,""lng"":80.196307}",30,2023-12-07 03:50:17.771,,""
56b5a03b-37fb-45a6-9ddf-843f56690559,"","{""lat"":13.1330233,""lng"":80.2552536}",18,2023-12-07 03:51:26.43,,""
fa1b044e-c548-4c6c-a27f-456559ab5284,"","{""lat"":13.1330233,""lng"":80.2552536}",118,2023-12-07 03:51:53.576,,""
a18991ba-750c-4f61-825b-9ffaf666e734,https://cwl-images.s3.ap-south-1.amazonaws.com/6a8dce697ce53ff4cd826ad5e49ce604.jpeg,"{""lat"":13.1080511,""lng"":80.1995531}",51,2023-12-07 03:53:33.889,,""
ae445df6-d620-4366-b2aa-de01fcd6c574,https://cwl-images.s3.ap-south-1.amazonaws.com/a8a0bb84976697e97eceb82a77ad6457.jpeg,"{""lat"":13.1080511,""lng"":80.1995531}",45,2023-12-07 03:54:01.966,,""
7b8ce7c4-ec29-4f59-9c1f-3a55637c3ccb,"","{""lat"":13.1187907,""lng"":80.1622203}",150,2023-12-07 03:57:52.208,,""
